,CM,GENDER,AGE
77,[2.69149729 3.65583512 2.55491265 ... 0.         4.6872124  4.92277351],F,29
78,[3.77154225 5.24916697 5.0206331  ... 0.         6.84671101 6.4339226 ],M,26
79,[4.04224469 4.91735344 4.56293746 ... 0.         5.47663394 5.57590907],F,35
80,[0.         0.         4.89144321 ... 0.         0.         0.        ],M,29
81,[2.60053456 0.         0.         ... 0.         7.1884239  7.32638145],F,28
82,[3.00932811 2.21044068 2.42776937 ... 0.         4.44227684 4.36391052],M,22
83,[5.63199953 0.         2.21871559 ... 0.         6.83853494 6.34628525],F,32
84,[2.67374703 3.76012975 2.63319742 ... 0.         5.29890348 4.99793962],F,26
85,[3.74041101 5.70851489 0.         ... 0.         6.04523848 5.23127394],M,33
86,[6.43106219 6.81085603 4.62405086 ... 0.         6.3702033  7.18762858],F,31
87,[3.10466134 3.01408664 2.43278178 ... 0.         5.80431012 6.38488238],F,26
88,[0.         6.10053967 5.75389391 ... 0.         6.25585381 5.60667394],F,32
89,[4.08549479 3.48472896 4.15912874 ... 0.         5.22194617 5.61317426],M,26
90,[4.35897308 0.         0.         ... 0.         0.         5.29418297],F,33
91,[3.95510821 5.57590633 4.48535108 ... 0.         5.68575604 5.11505061],F,34
92,[2.78788886 4.16099616 4.47385488 ... 0.         6.64700614 6.39012218],F,28
93,[3.30999911 4.83395515 5.25193066 ... 0.         0.         5.78064014],F,34
94,[2.75555476 5.50458187 5.33307174 ... 0.         5.05543022 5.93589632],M,33
95,[2.75067387 1.77077209 2.76644774 ... 0.         5.20236643 5.6103765 ],M,25
96,[2.90698703 5.89350449 3.13155213 ... 0.         5.60349315 4.52970336],M,23
97,[4.98242728 0.         5.3494385  ... 0.         5.51199783 0.        ],F,25
98,[4.63695406 7.11869026 0.         ... 0.         6.76582063 7.37428967],F,31
99,[3.81492163 6.92338861 6.01965915 ... 0.         5.78911019 6.36658345],F,35
100,[3.24471006 4.50811795 3.84033499 ... 0.         6.36461716 5.1998591 ],M,32
101,[4.68695531 4.74894358 2.84537529 ... 0.         7.06093334 6.51985842],F,30
102,[0.         0.         5.20207986 ... 0.         5.61880838 5.78063054],F,27
103,[5.60189046 6.41235699 6.27931908 ... 0.         7.02689401 7.06313172],F,32
104,[2.88774873 5.43797722 5.06165829 ... 0.         7.08543438 7.05866341],M,34
105,[5.06766197 6.04815136 5.57886071 ... 0.         0.         5.07920216],M,30
106,[0.         4.11225179 3.16978014 ... 0.         6.79450513 8.00043437],F,33
107,[3.63325097 0.         3.75298627 ... 0.         6.58331812 5.66259115],F,30
108,[3.74474335 3.58964448 3.25023107 ... 0.         5.44274765 5.23665591],M,22
109,[3.62167334 3.99933204 3.49642801 ... 0.         4.62414046 4.29382801],F,29
110,[3.1145361  5.75902761 4.18366767 ... 0.         5.70227862 7.06432804],M,26
111,[0.         0.         1.72292372 ... 6.36621373 0.         6.22673692],M,27
112,[3.02017613 4.66241125 4.80807282 ... 0.         7.34466559 5.40695121],F,27
113,[2.52948321 4.18362617 3.31365436 ... 0.         4.79080858 4.77423526],M,27
114,[4.84159667 5.11277183 3.90431216 ... 0.         4.30753942 4.6720505 ],F,32
115,[4.45516003 4.26881606 3.53246272 ... 0.         4.27110127 4.01502785],F,30
116,[2.57207631 3.87264767 1.86791932 ... 0.         5.6635252  5.74196595],M,34
117,[0.         0.         4.45497949 ... 0.         4.14004333 3.52687578],F,25
118,[9.71685342 9.51748924 9.379128   ... 0.         9.65933771 9.69249828],F,31
119,[0.         2.2904269  0.         ... 0.         6.5813037  6.19291825],F,29
120,[2.76807364 4.96523206 3.66055175 ... 0.         5.14666014 4.49040548],F,28
121,[2.18420628 3.55439766 2.8717007  ... 0.         6.02452018 4.64875646],F,28
122,[2.50912595 4.82888623 3.53091992 ... 0.         6.57513053 5.07439369],M,27
123,[0.         5.0360634  2.37912137 ... 0.         6.34300778 6.42102039],M,22
124,[3.78813489 5.11208585 4.56482973 ... 0.         0.         6.28943889],F,23
125,[4.03170728 5.97829118 0.         ... 0.         8.05183025 7.59377743],F,26
126,[0.         3.65363396 0.         ... 0.         5.11384976 5.6182275 ],M,30
127,[3.14322343 3.32781079 3.49645716 ... 0.         6.7474508  5.17965774],M,25
128,[0.         5.26333757 0.         ... 0.         5.00270772 0.        ],M,27
129,[4.29114513 4.92474201 3.96302993 ... 0.         5.57818444 6.41764611],F,32
130,[3.37492565 6.01366536 4.85838911 ... 0.         7.86488173 7.36514596],F,29
131,[2.4443358  4.38583163 5.65187131 ... 0.         6.97307239 6.43953246],F,27
132,[3.6772947  5.20079314 3.91816896 ... 0.         5.87063892 5.92282772],M,27
133,[2.39856966 0.         0.         ... 0.         4.07600791 3.32365436],M,29
134,[6.24241513 4.08679457 5.21133254 ... 0.         4.14632582 4.58968974],F,35
135,[0.         0.         5.92868926 ... 0.         7.4097931  6.87541847],F,31
136,[3.10844208 0.         3.74075385 ... 0.         6.7906093  6.17706924],F,22
137,[3.54115707 4.39249479 3.918238   ... 0.         4.84990864 4.46252469],F,26
138,[0.         5.68410073 3.61733956 ... 0.         6.36966027 6.06958282],M,24
139,[2.33226618 2.76135465 2.28323117 ... 0.         3.80034029 5.14093708],M,23
140,[4.40557739 4.34347135 3.61289263 ... 0.         5.26355365 5.47224507],F,30
141,[3.60176209 3.95818757 2.82523333 ... 0.         5.4722053  5.06895674],M,27
142,[3.07203824 4.15251885 2.81492085 ... 0.         5.42783429 4.53188987],M,31
143,[3.30800187 5.9205895  3.65761947 ... 0.         5.09982304 4.86331819],M,25
144,[4.58033112 5.22264284 0.         ... 0.         5.60062601 5.66741079],F,31
145,[4.02736367 3.13185483 2.85866065 ... 0.         5.475824   5.13168325],M,33
146,[2.97013002 4.94571584 2.66590218 ... 0.         5.26254566 4.6260194 ],M,22
147,[3.35501934 6.99069173 5.04791274 ... 0.         7.06201326 7.14993685],F,35
148,[3.55356785 4.39455383 2.7904403  ... 0.         5.32090972 5.70865174],M,32
149,[4.02247598 0.         5.48575258 ... 0.         6.3344741  6.32457257],F,23
150,[2.5417114  3.75061857 3.1801304  ... 0.         6.86450672 6.14594387],F,33
151,[3.82011944 4.7162553  3.25797966 ... 0.         5.31556012 5.67560389],F,33
152,[4.47344963 2.96949956 2.31030794 ... 0.         6.9245844  7.00620491],M,29
153,[3.31177611 4.69168757 4.49002406 ... 0.         5.7902587  5.73323859],M,25
154,[4.17686867 0.         2.88059805 ... 0.         4.56410938 6.20567348],M,23
155,[3.98168112 6.2384164  5.48896959 ... 0.         8.22804472 7.10050486],F,34
156,[3.14730712 4.66218633 3.94481545 ... 0.         4.78781792 4.52865727],F,28
157,[1.63248768 3.85483458 2.89683937 ... 0.         7.69763013 6.81292395],F,35
158,[4.21275654 3.73998012 3.94941924 ... 0.         5.55876019 5.54297386],M,26
159,[4.93997555 5.07517054 0.         ... 0.         8.03553998 7.12071297],F,27
160,[5.26764476 6.68869772 0.         ... 0.         6.67708104 6.21032676],F,36
161,[3.06939574 4.43775956 2.65375819 ... 0.         6.59882759 5.81369873],F,28
162,[0.         1.35911209 0.         ... 0.         4.16063676 5.46982212],M,33
163,[3.93088696 6.22249621 2.95793638 ... 0.         0.         4.35433575],F,25
164,[0.         2.55720922 0.         ... 0.         5.90852231 5.16169327],M,27
165,[0.         4.05259303 0.         ... 0.         8.02031436 7.7072784 ],F,33
166,[4.30443275 6.36841994 6.11092467 ... 0.         7.74336029 7.71715642],F,27
167,[2.45270197 6.13167716 3.46052397 ... 0.         6.25467296 5.52251309],M,31
168,[3.07492048 4.84802771 2.74626795 ... 0.         4.77393105 4.50187669],F,27
169,[3.35587058 4.91432949 5.02408863 ... 0.         6.32685734 5.6607246 ],F,32
170,[6.55316493 7.73366306 6.94489268 ... 0.         6.19199411 7.33975473],F,26
171,[5.36180421 5.41205154 3.4737333  ... 0.         4.33777923 4.33339924],F,33
172,[2.76777515 4.93833526 2.73214385 ... 0.         7.2796282  6.58004778],F,31
173,[3.69634983 4.6056345  2.45588578 ... 0.         5.18518269 5.76137079],M,25
174,[2.34345    3.62648087 3.01585439 ... 0.         3.6738692  4.79394532],F,30
175,[3.40771689 4.36848896 3.94260424 ... 0.         6.77728464 6.00352564],F,22
176,[3.14173681 6.15885486 4.14989797 ... 0.         7.66492384 7.05696232],M,27
177,[0.         4.69123431 3.14568989 ... 0.         6.19537678 6.13187546],M,23
178,[3.68430553 4.00071588 3.7608488  ... 0.         5.4320721  5.6784387 ],M,27
179,[5.65146978 4.84206004 3.54913272 ... 0.         5.21683224 5.20195725],F,26
180,[0.         5.51201158 5.47711495 ... 0.         5.36946058 5.24998498],M,24
181,[2.88936704 4.65167133 0.         ... 0.         6.88393523 5.67192531],F,26
182,[3.73659803 4.24298639 3.96387665 ... 0.         5.12143206 4.50174461],M,34
183,[2.99386735 3.99455255 3.73600968 ... 0.         5.81423234 4.86506141],M,28
184,[3.51865337 3.86626241 0.         ... 0.         4.85757035 4.19939113],F,27
185,[0.         6.11656847 0.         ... 0.         5.42595313 0.        ],F,34
186,[1.75124881 3.92068155 3.9360866  ... 0.         4.05145562 4.22501276],M,28
187,[3.11450612 3.83746686 3.18718684 ... 0.         6.17005893 7.7612953 ],F,32
188,[5.14295854 0.         4.85736967 ... 0.         0.         0.        ],M,29
189,[4.39662056 5.05903697 0.         ... 0.         6.19867212 5.9628974 ],F,24
190,[5.81464638 6.39087577 5.6420552  ... 0.         6.97263543 6.14663731],F,34
191,[3.40569812 4.4038621  3.81005245 ... 0.         4.69650125 4.93026745],F,31
192,[2.94197409 3.21963434 3.16657777 ... 0.         4.78122321 4.61844145],F,26
