,CM,GENDER,AGE
339,[3.34575583 0.         2.05107737 ... 0.         5.60481458 5.79712192],M,32
340,[3.27495578 4.64263103 3.39940396 ... 0.         5.91710826 6.15988061],M,35
341,[3.737347   5.29944359 3.93274536 ... 0.         6.64491462 6.05911661],F,33
342,[0.         4.6116258  0.         ... 0.         5.35758024 5.23861767],F,25
343,[4.76823212 0.         0.         ... 0.         7.0956281  7.00325395],F,34
344,[2.39250842 6.67156842 3.52665514 ... 0.         3.97090949 5.4920206 ],M,24
345,[5.37174885 3.24104506 3.38145856 ... 0.         5.09431187 4.66899405],M,29
346,[4.78572411 5.36178089 5.17899588 ... 0.         6.56115744 6.64952536],F,29
347,[3.66946622 6.3287451  0.         ... 0.         7.27176074 6.61751141],F,33
348,[0. 0. 0. ... 0. 0. 0.],M,27
349,[0.         0.         0.         ... 0.         7.76127077 6.15760071],M,24
350,[4.45154579 5.41046055 4.88952318 ... 0.         4.55187786 4.99690583],F,27
351,[2.8673776  4.36913189 3.09927001 ... 0.         5.4860277  4.77318588],F,28
352,[5.85027059 7.74475894 5.80325127 ... 0.         6.87102685 7.19356068],M,28
353,[2.89194451 0.         3.56741031 ... 0.         5.08229736 4.98594539],M,27
354,[3.95688437 4.51589273 3.46928862 ... 0.         6.31286573 6.23522289],F,32
355,[4.27235623 7.14659955 4.29000094 ... 0.         6.49330429 7.11253063],F,31
356,[5.82861152 0.         0.         ... 0.         0.         7.93209288],F,31
357,[2.06345658 4.54998404 0.         ... 0.         5.87303719 4.39496255],M,31
358,[3.43974777 5.24474452 0.         ... 0.         6.42766386 5.99924701],M,30
359,[0.         5.49094715 0.         ... 0.         7.09618036 4.00941324],M,28
360,[1.95052818 4.05892504 0.         ... 0.         6.45181244 4.79949503],M,27
361,[4.64438338 4.37498212 3.34061131 ... 0.         4.53940243 5.41276247],F,34
362,[3.33405561 4.4280246  4.33462504 ... 0.         6.14710577 4.66700903],F,24
363,[3.93293897 3.70071899 3.26628083 ... 0.         6.81831559 6.30266372],M,27
364,[3.81808616 4.15208129 2.45687545 ... 0.         6.88027577 6.36753159],F,29
365,[3.99065521 4.8862671  4.70044964 ... 0.         5.04192328 4.81654054],M,26
366,[0.         0.         0.         ... 0.         6.27162839 6.00278905],M,27
367,[0.         5.20009551 0.         ... 0.         0.         0.        ],M,29
368,[0.         6.52107787 5.72727314 ... 0.         6.31195926 6.58104751],F,23
369,[4.23278285 7.12197651 6.15031578 ... 0.         6.41859285 6.9545428 ],M,26
370,[3.83198617 0.         0.         ... 0.         6.35244981 5.52504404],F,24
371,[6.9203875  6.59804505 5.76291829 ... 0.         6.49867184 6.13962204],F,25
372,[3.97200911 3.12471171 1.98608162 ... 0.         7.46454326 7.22993901],M,28
373,[4.02500351 0.         6.23670164 ... 0.         5.92287172 6.59148942],M,34
374,[4.97980825 3.81162784 3.06035417 ... 0.         6.38536448 5.81123286],M,22
375,[4.17885483 4.5211305  5.21568767 ... 0.         6.68869766 6.13258571],F,30
376,[5.83920211 4.46917172 4.27675265 ... 0.         5.7466983  6.76715255],F,32
377,[3.94908215 3.62157356 2.13694104 ... 0.         5.46402034 5.17499105],F,35
378,[0.         3.74377127 3.46333461 ... 0.         6.82362159 7.09735621],M,27
379,[4.623625   3.74673331 2.93425126 ... 0.         6.34111466 5.68970663],F,29
380,[3.54013091 6.31745436 4.80849367 ... 0.         6.29731106 5.76267893],F,26
381,[2.23358268 5.55509599 4.63643102 ... 0.         5.76658655 4.26004717],M,24
382,[2.84599598 5.44759934 4.07224924 ... 0.         5.61755172 5.79361525],M,27
383,[3.18355464 6.62399379 0.         ... 0.         0.         6.35905515],F,33
384,[4.55677174 5.69972485 8.38556617 ... 0.         5.38591769 5.62912275],F,31
385,[3.66034662 2.10435232 3.49025314 ... 0.         3.45624531 5.87980168],F,29
386,[4.50845862 5.38353686 4.5635428  ... 0.         7.28085944 6.49690388],F,26
387,[2.31115817 0.         2.61886026 ... 0.         5.98553152 5.8294584 ],M,26
388,[4.53931374 4.43867174 5.66757533 ... 6.63774705 6.18456957 5.56782665],F,33
389,[3.41345919 4.59887882 4.29966794 ... 0.         6.60339781 6.16593543],F,26
390,[2.43977684 2.5705519  1.38294835 ... 0.         5.11679331 4.77485837],M,28
391,[2.64095234 3.81896364 2.83036543 ... 0.         7.37333995 7.4235394 ],F,30
392,[3.92669804 5.08369936 4.09920768 ... 0.         4.51280545 5.17438955],F,24
393,[0.         0.         0.         ... 0.         7.02360255 5.76424317],M,28
394,[2.30669932 4.97971221 3.10294677 ... 0.         0.         4.29764358],M,28
395,[1.74376503 3.66307584 2.61538766 ... 0.         4.74095053 4.99840133],M,24
396,[2.73111268 6.62935938 4.12545633 ... 0.         5.91418713 5.19777898],M,26
397,[3.61273701 2.87844452 3.11252395 ... 0.         4.87411491 4.33467918],F,28
398,[3.06395842 3.33417373 0.         ... 0.         0.         5.3840218 ],F,30
399,[5.51205025 8.68109712 5.15519902 ... 0.         7.10977058 6.42189141],F,31
400,[1.99774099 0.         0.         ... 0.         8.3434392  7.3143786 ],M,33
401,[3.93851216 3.12783036 2.79570527 ... 0.         6.85768763 5.74831689],M,32
402,[0.         6.93319607 0.         ... 0.         7.15208181 6.98877878],F,33
403,[4.64079296 6.60520993 5.58458942 ... 0.         5.98796154 5.61700495],M,27
404,[5.21253686 5.59449225 4.68661036 ... 0.         6.16235035 6.60378949],F,28
405,[2.64958815 3.62822486 4.38548236 ... 0.         6.15893838 6.02165262],M,31
406,[2.9714978  0.         5.15750885 ... 0.         6.66812484 4.82356585],M,33
407,[3.29481543 1.3699549  1.80043692 ... 0.         6.53620541 6.25976384],M,28
408,[4.98361751 6.90688727 5.81024327 ... 0.         6.58350302 7.35228908],F,34
409,[5.87496976 6.61837259 5.02574899 ... 0.         6.26428068 4.65766375],F,33
410,[0.         0.         4.64444384 ... 5.10009006 6.16825296 5.9905028 ],M,27
411,[0.         0.         6.06202069 ... 0.         7.61853343 7.58713349],F,29
412,[3.0014159  5.40721927 4.60671637 ... 0.         5.41070164 5.61567796],F,26
413,[3.00131441 3.50864793 3.41238671 ... 0.         6.88494729 5.86570704],F,27
414,[4.00608819 5.09282629 5.07687001 ... 0.         4.75264851 5.91009069],M,30
415,[3.78605615 3.478216   3.17410894 ... 0.         6.2271162  4.99353257],M,26
416,[4.10951764 5.27375179 3.83900772 ... 0.         5.3262848  5.45222441],M,25
417,[3.51496344 0.         4.68331656 ... 0.         6.73714424 4.7313051 ],M,33
418,[0. 0. 0. ... 0. 0. 0.],F,34
419,[0.         0.         7.55801337 ... 0.         0.         0.        ],M,33
420,[0.         5.77812481 5.1354172  ... 0.         0.         0.        ],F,22
421,[5.61210518 4.48198924 4.10432927 ... 0.         6.23166727 6.8934987 ],F,29
422,[4.17288703 5.58568098 4.12501693 ... 0.         5.78738112 6.09183102],M,29
423,[4.57557031 5.38154267 4.05851109 ... 0.         6.15927868 6.38403391],F,29
424,[6.02241246 4.1891348  7.89439366 ... 0.         6.84073126 6.50100347],F,31
425,[5.77348158 0.         0.         ... 0.         6.23769747 5.37453543],F,27
426,[3.27100358 6.8508975  3.6923376  ... 0.         5.72935193 6.30637416],M,31
427,[3.34306077 4.88141715 2.41984488 ... 0.         5.87762229 5.98498127],F,32
428,[2.18543161 2.05833251 0.         ... 0.         3.94826128 5.33291345],F,30
429,[4.49179707 5.20901201 0.         ... 0.         3.81533193 6.42225836],F,32
430,[5.32755026 0.         5.71651654 ... 0.         6.32810504 5.75445714],M,24
431,[0.         0.         4.59007288 ... 0.         5.72002479 5.56915568],F,25
432,[6.46111678 5.01742016 5.15867046 ... 0.         7.44898021 7.22080894],F,32
433,[3.6608338  5.68667096 5.12232276 ... 0.         5.63820122 4.80263031],F,23
434,[4.23233114 5.91049585 4.33962626 ... 0.         3.64688328 4.37548012],F,34
435,[5.25985117 5.82795939 6.10843335 ... 0.         5.61442242 5.18864849],M,34
436,[3.18731863 4.73767737 4.00889057 ... 0.         5.87002166 5.1260651 ],F,29
437,[2.86764596 4.31159623 2.96290845 ... 0.         3.96493201 4.88591303],M,31
438,[5.27218441 3.17125633 2.5074608  ... 0.         4.4994169  4.39373121],M,29
439,[3.07878187 5.65346529 4.28985266 ... 0.         0.         6.20536774],F,28
440,[4.29325796 4.58193299 3.33281156 ... 0.         0.         4.68950252],F,26
441,[3.23738974 4.25610245 3.84110748 ... 0.         5.34828118 4.58942297],M,27
442,[6.31578783 6.45289209 5.07227988 ... 0.         5.33438471 4.98058459],F,28
443,[5.04994607 6.77806539 6.04120046 ... 0.         5.77048804 6.32667892],F,29
444,[3.15131034 3.23547546 1.94166197 ... 0.         6.86195909 6.49957231],M,32
445,[0.         3.30446149 2.09012723 ... 0.         6.97698859 7.4059439 ],F,27
446,[0.         4.67448988 3.30828011 ... 0.         6.28038865 5.94183848],F,25
447,[3.98169008 3.55254778 2.83541113 ... 0.         5.4574135  4.38370282],M,31
448,[4.65090729 3.40358245 2.81152685 ... 0.         8.11700533 7.73069434],M,23
449,[2.78237988 5.46049753 3.07576655 ... 0.         7.02734706 6.40140709],M,25
450,[3.61490733 2.93571692 2.70296022 ... 0.         4.55424365 5.37682869],M,29
451,[3.07537299 4.92782159 5.02857594 ... 0.         4.86817531 4.38426382],F,33
452,[1.20558137 2.46331733 4.14039273 ... 0.         3.08004656 3.55878441],M,22
453,[3.3162341  5.73819382 5.43788579 ... 0.         4.76010618 6.17581356],F,27
454,[7.07323034 7.45396047 6.07183283 ... 0.         0.         7.38200171],M,32
455,[3.50161792 4.6719978  2.55582445 ... 0.         5.82262584 5.89086718],M,23
456,[2.46119873 5.18430837 4.35578005 ... 0.         6.11352715 6.24630934],F,30
457,[3.37670553 0.         4.40477658 ... 0.         6.44250867 5.88723305],F,26
458,[0.         0.         2.80795942 ... 0.         6.85445972 5.64467272],M,26
459,[2.1107602  4.30078223 0.         ... 0.         6.51067906 6.14530174],M,30
460,[2.72259134 0.         3.1694512  ... 0.         5.16542806 4.73083468],M,31
461,[3.63053928 4.33764371 0.         ... 0.         5.15669966 4.23105388],F,22
462,[2.9502074  2.63659476 0.         ... 0.         6.72147796 6.31991818],F,33
463,[3.4209911  4.87653517 4.03348937 ... 0.         5.14126491 5.27211245],M,35
464,[3.75406576 4.21543103 4.22024877 ... 0.         3.57164733 3.54133834],M,26
465,[0.         3.77476306 0.         ... 0.         3.42865799 4.83664119],F,28
466,[2.80065545 4.93405817 2.6946075  ... 0.         5.46949749 4.70978885],M,31
467,[0.         0.         0.         ... 0.         0.         7.20396054],F,28
468,[2.0770406  0.         0.         ... 0.         0.         6.08772018],M,23
469,[0.         0.         0.         ... 0.         4.63961657 3.4569988 ],M,23
470,[4.29311801 7.13634234 6.55450771 ... 0.         6.62623764 6.1733754 ],M,25
471,[3.94980047 3.61938531 3.84176629 ... 0.         6.46424971 5.71829268],F,33
472,[0.         0.         5.48056434 ... 0.         4.7472142  0.        ],F,35
473,[1.53409211 3.73309217 2.6430693  ... 0.         4.8644097  4.44473978],F,34
474,[0.         3.52304328 2.97330315 ... 0.         7.44475088 7.20453605],M,29
475,[0.         4.1013858  2.41123599 ... 0.         7.14491276 7.36744362],M,25
476,[0.         0.         0.         ... 0.         0.         4.87225728],M,22
477,[5.95540527 4.66589058 5.17359577 ... 0.         5.5290204  6.44031934],F,33
478,[2.89384664 3.50226068 3.59775856 ... 0.         5.60678548 5.49297368],F,35
479,[0.         0.         3.47270253 ... 0.         4.53056212 4.76919454],M,35
480,[4.36619982 5.00337331 5.64785828 ... 0.         6.28160111 6.16025898],F,24
481,[0.         7.11097386 0.         ... 0.         6.49020526 5.78458257],M,23
482,[2.47753332 4.10123905 4.71873905 ... 0.         6.72034065 5.99896546],M,26
483,[3.87188382 4.37166668 3.43447985 ... 0.         5.66799197 5.66606434],F,32
484,[3.64695277 6.34659265 3.53601407 ... 5.73906709 4.68737913 6.02744097],F,32
485,[3.92903192 4.10701259 3.62918661 ... 0.         6.1895173  6.1692898 ],F,25
486,[3.98693155 4.73503217 3.99340806 ... 0.         5.0103705  5.59331962],F,27
487,[4.6451683  4.81753447 4.24582549 ... 0.         6.46317242 5.8671522 ],M,33
488,[4.35090183 4.18297646 4.43047269 ... 0.         5.46577234 5.81933671],F,30
489,[4.23994045 3.65827715 3.8591478  ... 0.         5.53601791 4.4753472 ],F,22
490,[4.99806487 5.26776429 0.         ... 0.         5.60130513 5.34284139],F,31
491,[4.26012992 3.64958741 3.26595078 ... 0.         3.91426544 5.44076571],F,27
492,[3.67872587 0.         0.         ... 0.         5.89817849 6.3052063 ],M,25
493,[0.         3.4267737  3.58935586 ... 0.         4.79815364 3.97831529],M,29
494,[2.8070385  3.01870475 2.67665746 ... 0.         4.44463113 5.99460486],F,33
495,[1.96363021 5.74545029 3.33734869 ... 0.         5.79802138 6.54504298],M,30
496,[3.90140272 4.69689087 0.         ... 0.         6.38381583 6.34411771],M,22
497,[3.28288666 4.14577386 3.19940505 ... 0.         6.14569221 6.12998908],F,35
498,[1.90563592 3.61587963 2.97569179 ... 0.         5.43703934 5.15302955],F,32
499,[4.38190439 6.88411456 5.5946412  ... 0.         6.97484733 6.44984041],F,30
500,[0.         7.44707512 0.         ... 0.         8.06508475 7.71131014],F,28
501,[3.64889639 3.64659883 3.7798922  ... 0.         4.0306349  5.22046382],F,33
502,[0.         4.97188171 3.32764102 ... 0.         5.62963236 5.77238414],M,24
503,[0. 0. 0. ... 0. 0. 0.],M,33
504,[2.2928596  2.00656415 2.19681554 ... 0.         7.42948297 6.72199464],M,23
505,[4.00225193 0.         0.         ... 0.         4.54072809 4.69844012],M,32
506,[5.13500564 6.7585791  5.9866735  ... 0.         7.69794114 7.0533614 ],F,35
507,[3.06141018 4.50800259 3.9274481  ... 0.         5.91402102 4.43755325],F,26
508,[0.         6.15459492 5.7691818  ... 0.         5.260942   6.23400469],F,26
509,[2.66988697 5.19536806 4.01618068 ... 0.         4.66399791 4.56775156],M,33
510,[3.01576223 5.55514464 4.74357749 ... 0.         6.44069192 6.66999956],M,25
511,[3.46813256 2.28688904 2.37257966 ... 0.         5.89735845 5.91234131],M,23
512,[3.89267147 3.90517239 3.37787017 ... 0.         5.26797194 3.59528784],M,29
513,[2.17118988 0.         4.11879997 ... 0.         6.64959422 6.91328913],M,32
514,[3.66195697 5.06457634 5.166557   ... 0.         0.         5.62848862],M,26
515,[2.215209   3.51148553 2.75903057 ... 0.         6.38011431 4.67312203],M,24
516,[0. 0. 0. ... 0. 0. 0.],F,32
517,[4.05777823 5.11690755 3.42021934 ... 0.         7.4660651  7.0760635 ],M,27
518,[2.37746574 3.63688383 2.19185562 ... 0.         6.54805764 5.14472731],M,22
519,[2.65368625 2.92306479 3.89464922 ... 0.         0.         4.71479645],M,23
520,[6.22615128 2.03669759 0.         ... 0.         6.88892823 6.37256815],F,32
521,[3.6306144  3.94229473 3.74235295 ... 0.         5.97489209 5.40981213],M,22
522,[8.00091924 5.8467717  5.70512636 ... 0.         5.52312071 5.49262625],F,27
523,[3.25451323 3.03918983 2.06024949 ... 0.         6.95245337 5.27334039],F,27
524,[0.         0.         5.2213999  ... 0.         7.06385306 6.48483694],M,25
525,[4.88958948 7.36781902 6.71520679 ... 0.         6.49402807 6.991249  ],F,30
526,[5.14406658 4.4189132  3.99747918 ... 0.         6.1259045  6.25706101],M,25
527,[3.16820864 5.37516823 3.4474887  ... 0.         7.40038752 6.80703406],F,30
528,[3.97298367 0.         3.5362612  ... 0.         7.02514548 5.94762448],M,22
529,[1.85336162 3.1625634  2.0995783  ... 0.         4.62494885 4.67369118],M,23
530,[3.66030775 5.04752986 4.5727115  ... 0.         5.4492191  3.92062978],M,26
531,[0.         4.12383832 1.26744224 ... 0.         5.74338611 5.98750958],F,25
532,[2.61657242 4.06767721 2.49227288 ... 0.         4.83736296 3.93463416],F,33
533,[3.49036448 5.92347121 4.13876041 ... 0.         7.19901289 7.40573006],M,28
534,[4.18179668 6.68561057 5.54570255 ... 0.         5.52715565 6.64970961],M,26
535,[5.16257854 5.89627081 5.04079412 ... 0.         5.48362158 5.00740782],F,25
536,[5.27257148 6.26668495 5.24491913 ... 0.         6.72490256 5.93095535],F,22
537,[0.         4.3826064  2.91373402 ... 0.         5.68633753 5.51640955],M,30
538,[2.56253626 3.47786745 3.58106416 ... 0.         4.63134726 4.22337365],F,32
539,[4.90742599 5.01713624 4.10525758 ... 0.         5.82732952 6.18431644],M,32
540,[4.35521891 0.         0.         ... 0.         4.91442    4.57060057],F,35
541,[6.15591613 6.64726995 5.04521557 ... 0.         9.08319386 8.47903914],F,30
542,[3.5382916  4.84240572 3.34503588 ... 0.         7.18142911 4.37558169],F,25
543,[5.70221146 7.72107366 0.         ... 0.         8.61463446 8.3025465 ],M,27
544,[4.09943345 4.34006689 4.88956866 ... 0.         5.25762473 5.01307953],F,30
545,[0.         6.53746924 0.         ... 0.         0.         7.82391252],F,31
546,[3.37157862 5.71069021 4.32828598 ... 0.         6.11358936 6.27841149],F,34
547,[3.2631761  3.3229061  3.5646283  ... 0.         6.24956116 5.94139377],M,28
548,[2.59116158 2.50051608 2.17178394 ... 0.         3.3198636  3.1150018 ],M,25
549,[2.39508337 4.10906583 2.79156709 ... 0.         6.04193621 5.86175928],F,23
550,[3.33656106 5.39050259 4.10669842 ... 0.         0.         5.75513863],F,30
551,[2.88069393 4.55133877 2.58026721 ... 0.         6.31562611 5.8021422 ],F,25
552,[0.         6.5001028  5.7062423  ... 0.         5.79729517 4.91496537],M,26
553,[2.66980167 0.         2.98233491 ... 0.         6.45302365 7.23722825],F,33
554,[0.         0.         0.         ... 0.         4.23610071 0.        ],M,22
555,[1.53865385 0.         1.7668157  ... 0.         6.7007579  5.94890145],M,31
556,[0. 0. 0. ... 0. 0. 0.],M,27
557,[5.42991865 5.27781035 3.92192828 ... 0.         7.00993466 6.95810313],M,33
558,[0.         7.91441791 6.90885782 ... 0.         8.82601232 8.70018131],F,35
559,[0.         5.11265723 0.         ... 0.         7.84680551 7.32720094],M,31
560,[3.66979215 4.00763923 3.23013772 ... 0.         7.10633853 6.17806771],M,29
561,[4.46539072 4.79252852 5.01801792 ... 0.         7.37547373 7.39219639],F,35
562,[3.72685121 4.94996286 4.96027805 ... 0.         6.11497578 6.07168309],F,29
563,[2.69724271 3.81031997 2.71521006 ... 4.79719885 7.12222735 6.8568111 ],M,26
564,[0.         0.         0.         ... 0.         0.         4.16231495],F,35
565,[0.         4.64083545 0.         ... 0.         6.57738351 5.86636121],F,30
566,[0.         5.55440283 4.58257577 ... 7.79681664 7.92957992 7.35651093],F,30
567,[0.         3.99926159 3.34933874 ... 0.         6.5039431  5.45493456],M,33
568,[3.44512927 3.8366562  3.96881708 ... 4.43728732 4.86420107 3.34465089],M,25
569,[0. 0. 0. ... 0. 0. 0.],M,22
570,[0.         4.89806355 4.30306111 ... 0.         8.07932613 7.68763267],F,28
571,[3.45819836 4.49288108 3.40650671 ... 0.         6.36070975 5.24628975],M,30
572,[0.         4.5326565  0.         ... 0.         4.62200032 4.72781358],M,25
573,[0.         5.46131058 0.         ... 0.         6.04298711 5.75617366],M,31
574,[0.         5.2497414  2.66581038 ... 0.         6.20969609 4.46438433],F,22
575,[0. 0. 0. ... 0. 0. 0.],M,27
576,[0.         3.6698598  3.73624648 ... 0.         4.88261605 4.87788292],M,25
577,[2.08234931 4.21049547 3.24870711 ... 0.         4.28590443 3.01885651],M,30
578,[0.         6.58095131 4.81795226 ... 0.         6.80296413 6.84996702],F,33
579,[0.         4.69484351 4.33749469 ... 0.         7.16014318 6.29751477],F,34
580,[4.0365732  7.21325765 0.         ... 0.         7.57925144 7.06675621],M,26
581,[0.         5.97277654 0.         ... 0.         6.40530962 5.84643518],M,33
582,[0.         4.99821032 6.35662534 ... 0.         0.         4.50545872],F,23
583,[3.14191386 5.09342914 0.         ... 0.         7.59302227 6.49857395],M,32
584,[2.86767926 5.39690955 3.96927515 ... 0.         5.18708849 5.64600298],F,33
585,[6.48367833 3.72197461 0.         ... 0.         0.         0.        ],F,30
586,[3.56166254 5.50239735 5.45790404 ... 0.         6.58032413 5.49700669],F,33
587,[4.43216558 6.69334756 0.         ... 0.         7.09093259 7.19521472],F,29
588,[3.35562038 3.55683769 2.91792104 ... 0.         6.45774807 6.62161734],M,23
589,[4.64361893 0.         0.         ... 0.         4.90209711 7.32099161],M,31
590,[2.50160653 3.88197989 0.         ... 0.         4.60873627 4.52599537],M,24
591,[3.30085319 6.08332373 3.53835435 ... 0.         5.44434885 6.24631594],M,29
592,[1.95301872 5.20563719 3.98627451 ... 0.         6.2012088  5.5910111 ],F,27
593,[2.77079132 6.61665539 3.26830819 ... 0.         7.27193807 7.38565353],F,25
594,[2.34827565 5.43186883 3.73164559 ... 0.         6.38060702 6.26886276],M,22
595,[0. 0. 0. ... 0. 0. 0.],M,25
596,[3.52068986 5.56181427 5.3146837  ... 0.         6.81220387 6.53304937],F,24
597,[3.65141645 5.29560479 3.80551119 ... 0.         7.26703864 6.0414301 ],F,31
598,[3.10277831 3.41042496 3.19557679 ... 0.         6.1027289  5.77593872],F,32
599,[0.         3.83891168 2.53183824 ... 0.         7.2715108  7.07452217],M,23
600,[3.02367891 5.16802175 4.49375561 ... 0.         5.08900328 0.        ],M,22
601,[0.         4.07648452 3.77342015 ... 0.         4.01062145 5.36428176],M,27
602,[0.         5.40802111 0.         ... 0.         7.10467835 6.59141551],F,31
603,[0.         5.11142554 0.         ... 0.         7.26827578 7.16850495],F,25
604,[0.         0.         4.24164105 ... 0.         0.         0.        ],F,33
605,[1.32584154 4.28542794 2.30835291 ... 0.         5.60564623 5.52115615],M,24
606,[3.91499716 0.         0.         ... 0.         6.69891043 5.71336383],M,26
607,[3.55682175 3.61378333 3.93279943 ... 0.         3.54353262 5.16532237],F,29
608,[0.         4.46131046 0.         ... 0.         6.50122571 6.58836618],M,23
609,[2.9350663  4.33977191 3.46712281 ... 0.         6.63939919 5.75180002],M,29
610,[0. 0. 0. ... 0. 0. 0.],M,25
611,[3.10552671 4.80168444 4.10119814 ... 0.         7.40411324 5.68257338],F,36
612,[4.29102513 1.7672678  1.90646906 ... 0.         4.02336061 3.3027811 ],M,34
613,[0.         0.         0.         ... 0.         5.71964049 4.89812946],F,29
614,[3.07264644 4.90968138 4.33038994 ... 0.         5.96398607 6.14329142],F,30
615,[0.         0.         0.         ... 0.         0.         6.52577338],M,27
616,[1.71195228 3.29715864 1.99208948 ... 0.         5.14192556 4.20456348],M,26
617,[6.79721533 0.         0.         ... 0.         6.67593519 5.88466192],F,29
618,[0.         0.         0.         ... 0.         0.         5.79995747],M,27
619,[3.02892656 4.85157946 3.14889774 ... 0.         6.05818493 6.40613163],F,30
620,[3.07687038 3.00823438 2.61292897 ... 0.         5.15088387 5.69515899],M,27
621,[0.         6.04187255 5.98813473 ... 0.         5.26083827 4.81434706],F,29
622,[2.32917476 3.11625929 2.88209857 ... 0.         4.2560787  3.97020251],F,26
623,[2.20510082 3.03756237 4.7413045  ... 6.14816919 5.88849652 6.30860886],M,28
624,[2.90536386 4.51233598 3.23916492 ... 0.         4.57328975 5.02388069],M,28
625,[3.0394774  4.42953904 0.         ... 0.         6.42240263 5.49240078],F,27
626,[3.87198004 6.57886776 3.48065858 ... 0.         6.73633034 6.76305925],F,32
627,[0.         4.97420595 3.91921173 ... 5.86209725 3.55738247 4.68104688],M,24
628,[4.73738643 8.1679533  3.67225809 ... 0.         9.15920311 9.03611603],F,26
629,[4.69387019 5.0947465  3.26722924 ... 0.         6.39378063 6.5021147 ],F,34
630,[3.82832374 2.20134975 2.20801815 ... 0.         5.73216369 5.05456069],F,35
631,[4.12350802 4.24528379 3.77168628 ... 0.         6.35580078 6.5626819 ],F,31
632,[2.16102179 2.9269386  2.13102478 ... 0.         3.65992974 4.06726872],M,28
633,[2.90563266 3.8173208  0.         ... 0.         6.51166436 5.29381098],F,31
634,[2.75832582 2.68593411 2.33857689 ... 0.         4.96543962 4.80204296],M,32
635,[4.91158873 0.         3.6389123  ... 0.         6.77436122 7.05669192],M,37
636,[0.         0.         0.         ... 0.         8.17044066 7.51492947],M,25
637,[7.24260402 0.         0.         ... 0.         8.06172337 7.79933932],M,30
638,[3.81162562 4.60048061 3.8096596  ... 0.         7.21811951 6.10070738],F,25
639,[3.19892356 0.         4.97197359 ... 0.         6.81487495 5.56363083],M,22
640,[0.         2.87875477 2.04072599 ... 0.         4.64563336 5.66440711],F,27
641,[0. 0. 0. ... 0. 0. 0.],M,29
642,[2.89396718 3.75244415 2.68573567 ... 0.         3.63185607 3.61418083],M,34
643,[2.45692887 3.76974985 2.20638458 ... 0.         6.05354909 5.19228685],M,22
644,[4.4399419  0.         4.60915085 ... 0.         6.02877184 5.13778425],F,31
645,[3.96631104 5.34880362 4.77310178 ... 0.         5.83955037 4.19392778],M,29
646,[3.19383571 4.35769278 2.6976546  ... 0.         4.86501143 3.23788092],M,26
647,[2.88632946 3.96837502 4.1795711  ... 0.         5.65537933 5.72964386],F,23
648,[3.23482017 5.33147796 0.         ... 0.         6.68964537 6.2010249 ],M,32
649,[2.58413897 4.62719956 3.67189191 ... 0.         5.76029812 5.22529118],M,34
650,[2.08133113 3.77272942 4.2424433  ... 0.         5.00518034 4.64429449],M,32
651,[2.80874806 4.48007396 4.75478344 ... 0.         3.93938901 5.01498651],F,34
652,[0.         5.93453194 3.94292658 ... 0.         0.         5.02368035],M,28
653,[0.         0.         5.48480777 ... 0.         0.         0.        ],F,31
654,[3.85841086 4.72044197 2.3759561  ... 0.         0.         6.80621966],F,30
655,[3.98503772 5.46840231 4.48261835 ... 0.         5.59376952 5.9264216 ],F,26
656,[3.94508087 4.91666187 3.22674023 ... 0.         7.4561191  6.72633342],F,29
657,[1.99282593 4.19268666 2.77719597 ... 0.         4.75100655 4.86387591],M,25
658,[3.63872003 0.         2.7347706  ... 0.         4.27647408 4.52717004],M,27
659,[2.47123022 4.31441213 0.         ... 0.         7.216297   6.82863574],F,27
660,[4.24248772 5.06262328 4.50717749 ... 0.         5.49150332 5.2794432 ],F,32
661,[4.71480553 4.3107262  2.776577   ... 0.         4.79271707 5.60353956],M,30
662,[0. 0. 0. ... 0. 0. 0.],F,35
663,[1.97694009 5.28765847 4.39636526 ... 0.         0.         5.93773205],F,27
664,[4.21757805 6.51004705 4.69093608 ... 0.         5.10504225 5.07122335],M,29
665,[3.91556026 5.7007062  4.32019594 ... 0.         6.77214915 5.92769628],F,33
666,[4.09782164 4.1545682  3.11906683 ... 5.37627303 5.22419247 4.04242825],F,31
667,[2.54593106 5.07764639 0.         ... 0.         4.94081788 5.29066951],F,32
668,[3.20087448 4.88045241 4.17430141 ... 0.         6.47270068 5.12565594],M,25
669,[3.31011576 3.36385107 0.         ... 0.         6.41647818 5.98072188],F,29
670,[3.06260528 5.19180411 3.34323972 ... 0.         5.56267757 4.85577596],F,33
671,[1.96328802 4.51164317 2.88032557 ... 0.         6.11339675 4.16727933],F,33
672,[1.96906153 4.05137851 2.91597745 ... 0.         4.78080954 4.42984949],M,31
673,[3.28244785 5.59988698 4.13138688 ... 0.         6.62370942 4.96218591],M,22
674,[4.0767438  3.90021743 2.76420689 ... 0.         0.         3.62207142],F,31
675,[0.         6.08426195 0.         ... 0.         0.         6.29885903],F,32
676,[5.74164491 6.917366   0.         ... 0.         7.91178112 6.92711721],M,24
677,[0. 0. 0. ... 0. 0. 0.],M,23
678,[4.27619311 4.26661599 3.39430567 ... 0.         4.88223035 4.48817361],F,23
679,[2.11585664 2.502775   2.15260383 ... 0.         4.58198172 4.09531181],M,31
680,[1.85203922 3.28151043 0.         ... 0.         4.50605734 3.86080664],M,28
681,[1.67822773 2.44219184 1.60771789 ... 0.         6.35645083 5.87380946],M,30
